name,start,end,min_elev,max_elev
Bakke,8850,8800,98,98
Pauler 1,9200,9150,127,130
Pauler 2,9150,9100,124,124
Pauler 3,9000,8950,114,114
Pauler 4,8950,8900,108,111
Pauler 5,8975,8925,110.5,110.5
Pauler 6,8850,8800,98,98
Pauler 7,8800,8750,95,95
Sky 1,8950,8900,108,108
Sagene B4,9000,8800,53,55
Tinderholt 3,8700,8500,106,109
Dørdal,8600,8400,100,101
Tinderholt 2,8700,8400,104,107
Tinderholt 1,8600,8300,97,100
Nedre Hobekk 2,8800,8500,95,97
Skeid,8500,8300,94,95
Solum 1,8800,8400,94,95
Hydal 6,8500,8300,79,79
Nedre Hobekk 1,8500,8200,78,80
Hydal 4,8300,8100,80,80
Sagene B2,9200,8800,55,58
Hydal 7,8300,8100,73,74
Hydal 5,8500,8200,76,77
Hydal 3,8300,8100,76,78
Kvastad A4,8500,8300,52,61
Hydal 8,8300,8000,70,73
Nedre Hobekk 3,8200,8000,72,75
Kvastad A9,8700,8300,54,55
Nordby 1 (Bommestad-Sky),7900,7500,65,66
Sagene B1,8800,8700,48,55
Sagene B6,8900,8700,48,52
Danebuåsen,8500,8300,70,75
Sundsaasen 1,7900,7700,62,66
Hovland 2,8300,7900,65,70
Kvastad A5-6,8400,8300,46,49
Nordby 2 (Bommestad-Sky),7900,7500,65,70
Kjørholt,8000,7700,59,63
Roverud 1,7500,7400,59,62
Roverud 2,7500,7400,56,59
Hegna øst 6,7900,7500,55,58
Hegna vest 4,7900,7600,54,57
Krøgenesåsen 2,8850,8500,36,38
Krøgenesåsen 1,8850,8500,34,35
Lågerød,7400,7000,64,68
Gunnarsrød 7,7800,7300,55,59
Gunnarsrød 8,7300,7000,52,54
Hegna øst 5,7500,7000,44,49
Pjonkerød R3,7200,7000,62,65
Pjonkerød R2,7200,6700,62,62
Brunstad 26,5800,5600,46,50
Øytangen,6500,5500,32,34
Nordby 3 (Bommestad-Sky),6700,6300,49,49
Gunnarsrød 6b,6400,6000,46,46.5
Marisberg,8000,7500,30,30
Hegna øst 7,6600,6200,40,42
Dybdalshei 4,6900,5900,25,25
Gunnarsrød 6a,6400,6000,45,46
Gunnarsrød 10,5800,5600,43,44
Langangen Vestgård 4,4300,4300,39,41
Stokke/Polland 3,6100,5400,36,39
Langangen Vestgård 2,5600,5600,40,41
Stokke/Polland 4,5000,5000,33,34
Stokke/Polland 7,4900,4500,33,35
Prestemoen 2,4900,4900,34,39
Hegna øst 4,5300,5100,34,36
Hegna øst 3,5700,5600,37,39
Skutvikåsen 4,7540,7540,59,59
Skutvikåsen 3,7230,7150,54,55
Gunnarsrød 3,5000,5000,35,36
Skutvikåsen 5,4400,4300,30,31
Krøgenes D7,4200,3600,17,18
Stokke/Polland 9,4200,4000,29,31
Nauen B,4000,4000,33,34
Sundsaasen 2,3800,3600,27,31
Krøgenes D10,5000,4000,18,20
Tangvall nedre 2,3550,3550,23,25
Tangvall nedre 1,3550,3550,23,24
Vallermyrene 3,3200,3000,23,25
Krøgenes D5,2800,2400,13,14
Alveberget 6,5600,4500,17,23
Olsmyren,7300,7050,70,72
Viulsrød 1,7500,7200,71,74
Viulsrød 2,7100,6900,67,69
Råen 1,7100,6900,65,65
Anvik,8550,8250,77,80
Melau,9500,8200,100,100
Austein 1,9500,8200,105,110
Krøgenes D8,9250,8300,39,39
Krøgenes D6,9300,8300,40,40
Krøgenes D3,9300,8250,38,42
Sagene B5,8800,8700,45,47
Hesthag C3,8000,8000,35,40
Hesthag C6,8000,8000,38,41
Kvastad A7,8700,8300,54,54
Kvastad A8,8600,8500,50,55
Kvastad A3,8300,8000,56,58
